date,daily_aqi,n_monitor_readings,n_sites,pollutants_used,dominant_pollutant,dominant_site
2016-08-21,77.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Azusa
2016-08-22,80.0,61,17,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-08-23,122.0,51,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-08-24,129.0,49,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-08-25,140.0,56,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-08-26,97.0,51,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-08-27,108.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-08-28,126.0,64,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-08-29,161.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-08-30,187.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-08-31,151.0,60,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-09-01,80.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-09-02,84.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-09-03,87.0,64,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-09-04,68.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-09-05,73.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-09-06,93.0,56,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-09-07,129.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-09-08,97.0,55,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-09-09,87.0,58,17,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-09-10,108.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-09-11,72.0,54,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-09-12,77.0,59,17,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-09-13,60.0,49,15,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Reseda
2016-09-14,74.0,46,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-09-15,84.0,63,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-09-16,112.0,48,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
