date,daily_aqi,n_monitor_readings,n_sites,pollutants_used,dominant_pollutant,dominant_site
2016-08-22,62.0,52,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-08-23,122.0,45,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-08-24,129.0,43,15,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-08-25,140.0,50,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-08-26,97.0,46,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-08-27,108.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-08-28,126.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-08-29,161.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-08-30,187.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-08-31,151.0,52,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-09-01,80.0,47,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Glendora
2016-09-02,84.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-09-03,87.0,53,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-09-04,56.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",PM2.5,Long Beach-Route 710 Near Road
2016-09-05,67.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
2016-09-06,93.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-09-07,129.0,47,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-09-08,97.0,48,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Santa Clarita
2016-09-09,87.0,47,16,"CO,NO2,Ozone,PM2.5,SO2",Ozone,Lancaster-Division Street
